date,share_arrived_on_time,share_arrived_less_than_5_minutes_late,number_received_credit,minutes_late_to_receive_credit
2019-01-17,0.927,0.98,1058,10
2019-01-16,0.934,0.983,1136,10
2019-01-15,0.904,0.973,2561,10
2019-01-14,0.88,0.95,2391,10
2019-01-11,0.947,0.984,926,10
2019-01-10,0.939,0.984,937,10
2019-01-09,0.919,0.974,2356,10
2019-01-08,0.947,0.986,847,10
2019-01-07,0.954,0.987,713,10
2019-01-04,0.913,0.969,2424,10
2019-01-03,0.944,0.984,743,10
2019-01-02,0.946,0.985,661,10
2018-12-28,0.929,0.978,269,15
2018-12-27,0.922,0.976,289,15
2018-12-26,0.929,0.978,205,15
2018-12-25,0.924,0.974,137,15
2018-12-24,0.924,0.974,137,15
2018-12-21,0.938,0.979,640,15
2018-12-20,0.939,0.984,518,15
2018-12-19,0.93,0.983,594,15
2018-12-18,0.931,0.982,541,15
2018-12-17,0.928,0.981,571,15
2018-12-14,0.913,0.978,619,15
2018-12-13,0.916,0.98,604,15
2018-12-11,0.821,0.894,20820,15
2018-12-10,0.907,0.976,630,15
2018-12-07,0.862,0.946,460,15
2018-12-06,0.875,0.955,291,15
2018-12-05,0.884,0.959,338,15
2018-12-04,0.856,0.949,408,15
2018-12-03,0.888,0.96,309,15
2018-11-30,0.856,0.94,839,15
2018-11-29,0.857,0.945,395,15
2018-11-28,0.87,0.952,331,15
2018-11-27,0.878,0.954,285,15
2018-11-26,0.843,0.938,593,15
2018-11-23,0.899,0.969,184,15
2018-11-21,0.918,0.976,430,15
2018-11-20,0.904,0.968,1474,15
2018-11-19,0.926,0.977,881,15
2018-11-16,0.902,0.97,962,15
2018-11-15,0.902,0.975,636,15
2018-11-14,0.924,0.98,893,15
2018-11-13,0.922,0.982,574,15
2018-11-09,0.866,0.956,1475,15
2018-11-08,0.919,0.978,1218,15
2018-11-06,0.926,0.982,549,15
2018-11-05,0.896,0.974,403,15
2018-11-02,0.927,0.98,352,15
2018-11-01,0.885,0.965,2056,15
2018-10-31,0.904,0.971,1355,15
2018-10-30,0.92,0.981,598,15
2018-10-29,0.919,0.977,487,15
2018-10-26,0.898,0.962,719,15
2018-10-25,0.919,0.98,582,15
2018-10-24,0.925,0.98,534,15
2018-10-23,0.903,0.971,1005,15
2018-10-22,0.921,0.98,665,15
2018-10-19,0.869,0.952,2864,15
2018-10-18,0.904,0.974,663,15
2018-10-17,0.866,0.953,2697,15
2018-10-16,0.917,0.98,536,15
2018-10-15,0.934,0.985,494,15
2018-10-12,0.926,0.98,584,15
2018-10-11,0.926,0.981,608,15
2018-10-10,0.918,0.98,665,15
2018-10-09,0.904,0.972,912,15
2018-10-05,0.927,0.979,552,15
2018-10-04,0.932,0.983,620,15
2018-10-03,0.899,0.969,769,15
2018-10-02,0.928,0.982,576,15
2018-10-01,0.936,0.984,518,15
2018-09-28,0.927,0.98,499,15
2018-09-27,0.921,0.981,543,15
2018-09-26,0.893,0.967,1516,15
2018-09-25,0.908,0.978,531,15
2018-09-24,0.917,0.98,551,15
